sigla,acesso,latitude,longitude
GOS,A,-22.98475921746690,-43.19716794235250
GOS,B,-22.98443311885930,-43.19687944946550
GOS,C,-22.98342394970810,-43.19841000045970
GOS,D,-22.98191323512190,-43.19496955203770
CTG,A,-22.97667785422170,-43.19384457473980
CTG,B,-22.97635144619010,-43.19271748573600
SCP,A,-22.96694977131550,-43.18661923902200
SCP,B,-22.96752514706670,-43.18754397805350
CAV,A,-22.96466962064450,-43.18052109220650
CAV,B,-22.96462167137120,-43.18077313638700
BTF,A,-22.94955862295810,-43.18468337218420
BTF,B,-22.94897868033640,-43.18431600013120
BTF,C,-22.94943936599550,-43.18406861970440
BTF,D,-22.95096686526200,-43.18401201471970
BTF,E,-22.95153842856710,-43.18422701911170
BTF,F,-22.95092763499070,-43.18430820212600
FLA,A,-22.93723539014630,-43.17816089395230
FLA,B,-22.93873951703900,-43.17875589973020
LMC,A,-22.93090615861950,-43.17828300321950
LMC,B,-22.93132847211540,-43.17789333650820
CTT,A,-22.92617911975040,-43.17669303048150
CTT,B,-22.92626885538880,-43.17646536212110
CTT,C,-22.92521269522410,-43.17670083296930
GLR,A1,-22.92036519664340,-43.17690831343280
GLR,A2,-22.92062787978630,-43.17685394431970
GLR,B,-22.92076753107740,-43.17607154721050
GLR,ACESSIBILIDADE,-22.92050659177640,-43.17631446978200
CNL,A,-22.91021442778350,-43.17584921569520
CNL,B,-22.91042615565420,-43.17577086603800
CNL,C,-22.91019309417720,-43.17554071102000
CNL,D,-22.91174316402630,-43.17574635768720
CNL,E,-22.91149124878010,-43.17512461122690
CNL,F,-22.91124059274960,-43.17522050727670
CRC,A,-22.90734121205320,-43.17760510384670
CRC,B,-22.90819706496620,-43.17852583012710
CRC,C,-22.90699123186760,-43.17851485237240
URG,A,-22.90280493803490,-43.18118109223980
URG,B,-22.90332664236840,-43.18149354344000
URG,C,-22.90299131417270,-43.18228482427040
URG,D,-22.90247933013310,-43.18169604384530
URG,ACESSIBILIDADE,-22.90270630200650,-43.18198572181870
PVG,A,-22.90298876001880,-43.18583324443790
PVG,B,-22.90357934221190,-43.18580076919150
PVG,C,-22.90338488758870,-43.18684735823300
PVG,C,-22.90328739903690,-43.18655020250740
CTR,A,-22.90412273128370,-43.19132020307740
CTR,B,-22.90455582695700,-43.19170072775010
CTR,B,-22.90463071285240,-43.19201642490980
CTR,C,-22.90384557737630,-43.19025626590740
CTR,D,-22.90516509372910,-43.18994319231080
CTR,D,-22.90505958641160,-43.18961438562450
POZ,A,-22.90987051641930,-43.20048643652910
POZ,B,-22.90962764651940,-43.19931528500310
ESA,3.20626983056180,,-22.91311121398330
ESA,B,-22.91381620454510,-43.20692819339060
AFP,A,-22.91819777455260,-43.21794343726940
AFP,B,-22.91850866824170,-43.21767850216020
SFX,A,-22.92048216485360,-43.22367624335150
SPN,A,-22.92465391829080,-43.23287278325750
SPN,B1,-22.92457125327200,-43.23341909250150
SPN,B2,-22.92481198690420,-43.23379445585150
SPN,C,-22.92491456586420,-43.23334279313720
SPN,D,-22.92392255797700,-43.23199452932710
SPN,E,-22.92370480334990,-43.23172050440140
SPN,F,-22.92359598414820,-43.23208991135680
URI,A,-22.93218333848500,-43.23952826997570
URI,B,-22.93203707075340,-43.23979011211800
URI,C,-22.93160627866460,-43.23971775019760
URI,D,-22.93047085616910,-43.23798749200430
URI,E,-22.93063683991080,-43.23779879978760
URI,ACESSIBILIDADE,-22.93168080612900,-43.23960521574500
CNV,A,-22.90897521009660,-43.20614007909300
CNV,B,-22.90940399410250,-43.20594684745590
CNV,C,-22.90961644992450,-43.20586723862680
CNV,D,-22.91013991155160,-43.20566461978250
CNV,E,-22.91032864988630,-43.20559306663880
CNV,F,-22.91070441390500,-43.20546598771620
SCR,A1,-22.91058117152120,-43.22167813746570
SCR,A2,-22.90983278013790,-43.22181122046580
SCR,B1,-22.90957658610350,-43.22190064871440
SCR,B2,-22.90909584894400,-43.22200639807230
SCR,C1,-22.91038170746270,-43.22003956501510
SCR,C2,-22.90994241719900,-43.21994026211270
MRC,A1,-22.90987655030740,-43.23391946251670
MRC,A2,-22.91016664516580,-43.23490770195420
MRC,A3,-22.90992385407610,-43.23383345477360
MRC,A4,-22.91081295361190,-43.23252685463960
MRC,5,-22.90988835116260,-43.23401303250320
MRC,B1,-22.90878626285330,-43.23326714622780
MRC,B2,-22.90951743154510,-43.23361409460080
TRG,A,-22.89717830528330,-43.24395680531300
TRG,B,-22.89744283817770,-43.24402425686800
MGR,A1,-22.88114808284780,-43.26017169141060
MGR,A2,-22.88140650873180,-43.26008683802610
MGR,B1,-22.88186730170340,-43.25995570580390
MGR,B2,-22.88158459127660,-43.26008747302610
DCT,A1,-22.87927075619240,-43.27124292757220
DCT,A2,-22.87936963119820,-43.27164725589160
DCT,B1,-22.88071080651040,-43.27089101497550
DCT,B2,-22.87955228184700,-43.27176334542260
INH,A1,-22.87426222122910,-43.28391095179090
INH,A2,-22.87448017068370,-43.28368316183500
INH,B1,-22.87465306578490,-43.28361595604570
INH,B2,-22.87474219388530,-43.28391261968930
INH,B3,-22.87463277649150,-43.28370564662880
ERN,A1,-22.86819878926990,-43.29696615463460
ERN,A2,-22.86801698159330,-43.29752782909280
ERN,A3,-22.86799630437790,-43.29739748543700
ERN,B1,-22.86754468220680,-43.29722630873490
ERN,B2,-22.86783034097270,-43.29734794928280
TCL,A1,-22.86235930330950,-43.30658950194820
TCL,A2,-22.86236873341030,-43.30676606334530
TCL,B1,-22.86226219213650,-43.30715161818770
TCL,B2,-22.86238351333930,-43.30692273006880
VCV,A1,-22.85379458258780,-43.31309852022900
VCV,A2,-22.85365698956890,-43.31333979431650
VCV,A3,-22.85323013854700,-43.31358736645740
VCV,A4,-22.85290411795810,-43.31359910962260
VCV,A5,-22.85392551587130,-43.31323280456610
VCV,B1,-22.85402259532390,-43.31340032353610
VCV,B2,-22.85359592659770,-43.31390374146540
VCV,B3,-22.85403034900110,-43.31332964758370
IRJ,A,-22.84771009656820,-43.32413830409580
IRJ,B,-22.84750319167270,-43.32401673117450
CLG,A,-22.84256235779390,-43.33466556423740
CLG,B,-22.84277798904720,-43.33470735733080
CNT,A,-22.83151472890390,-43.34307782961030
CNT,B,-22.83187338829280,-43.34325999785410
AFB,A1,-22.82471667591320,-43.34942507138380
AFB,A2,-22.82458128785820,-43.34955479108310
AFB,B1,-22.82516912858650,-43.34937227153960
AFB,B2,-22.82470151136220,-43.34971664525420
ERP,A,-22.81641571152580,-43.35825117854080
ERP,B,-22.81632700717250,-43.35862657369060
PVN,A1,-22.80627740294120,-43.36593368024580
PVN,A2,-22.80597228946600,-43.36569214713850
PVN,A3,-22.80612445258150,-43.36586958080180
PVN,B1,-22.80618216592760,-43.36501797979230
PVN,B2,-22.80661768312970,-43.36558083480230
PNV,B3,-22.80649885754450,-43.36519699150670
PVN,C,-22.80677922349250,-43.36453546973240
