Estacao,NumeroDeGuiches
Afonso Pena,2
Botafogo,8
Cantagalo,3
Cardeal Arcoverde,4
Carioca,7
Catete,2
Central,9
Cinelândia,6
Estácio,3
Flamengo,4
Glória,2
Largo do Machado,4
General Osório,10
Praça Onze,2
Presidente Vargas,2
Saens Peña,7
São Francisco Xavier,3
Siqueira Campos,8
Uruguai,6
Uruguaiana,6
Acari Fazenda Botafogo,2
Cidade Nova,2
Coelho Neto,3
Colégio,2
Nova América/Del Castilho,4
Engenheiro Rubens Paiva,2
Engenho da Rainha,2
Inhaúma,2
Irajá,3
Maracanã,7
Maria da Graça,2
Pavuna,12
São Cristóvão,3
Thomaz Coelho,2
Triagem,2
Vicente de Carvalho,3
