Acesso,Longitude,Latitude
GOS - A,-43.1971679423525,-22.9847592174669
GOS - B,-43.1968794494655,-22.9844331188593
GOS - C,-43.1984100004597,-22.9834239497081
GOS - D,-43.1949695520377,-22.9819132351219
CTG - A,-43.1938445747398,-22.9766778542217
CTG - B,-43.192717485736,-22.9763514461901
SCP - A,-43.186619239022,-22.9669497713155
SCP - B,-43.1875439780535,-22.9675251470667
CAV - A,-43.1805210922065,-22.9646696206445
CAV - B,-43.180773136387,-22.9646216713712
BTF - A,-43.1846833721842,-22.9495586229581
BTF - B,-43.1843160001312,-22.9489786803364
BTF - C,-43.1840686197044,-22.9494393659955
BTF - D,-43.1840120147197,-22.950966865262
BTF - E,-43.1842270191117,-22.9515384285671
BTF - F,-43.184308202126,-22.9509276349907
FLA - A,-43.1781608939523,-22.9372353901463
FLA - B,-43.1787558997302,-22.938739517039
LMC - A,-43.1782830032195,-22.9309061586195
LMC - B,-43.1778933365082,-22.9313284721154
CTT - A,-43.1766930304815,-22.9261791197504
CTT - B,-43.1764653621211,-22.9262688553888
CTT - C,-43.1767008329693,-22.9252126952241
GLR - A1,-43.1769083134328,-22.9203651966434
GLR - A2,-43.1768539443197,-22.9206278797863
GLR - B,-43.1760715472105,-22.9207675310774
GLR - ACESSIBILIDADE,-43.176314469782,-22.9205065917764
CNL - A,-43.1758492156952,-22.9102144277835
CNL - B,-43.175770866038,-22.9104261556542
CNL - C,-43.17554071102,-22.9101930941772
CNL - D,-43.1757463576872,-22.9117431640263
CNL - E,-43.1751246112269,-22.9114912487801
CNL - F,-43.1752205072767,-22.9112405927496
CRC - A,-43.1776051038467,-22.9073412120532
CRC - B,-43.1785258301271,-22.9081970649662
CRC - C,-43.1785148523724,-22.9069912318676
URG - A,-43.1811810922398,-22.9028049380349
URG - B,-43.18149354344,-22.9033266423684
URG - C,-43.1822848242704,-22.9029913141727
URG - D,-43.1816960438453,-22.9024793301331
URG - ACESSIBILIDADE,-43.1819857218187,-22.9027063020065
PVG - A,-43.1858332444379,-22.9029887600188
PVG - B,-43.1858007691915,-22.9035793422119
PVG - C,-43.186847358233,-22.9033848875887
PVG - C,-43.1865502025074,-22.9032873990369
CTR - A,-43.1913202030774,-22.9041227312837
CTR - B,-43.1917007277501,-22.904555826957
CTR - B,-43.1920164249098,-22.9046307128524
CTR - C,-43.1902562659074,-22.9038455773763
CTR - D,-43.1899431923108,-22.9051650937291
CTR - D,-43.1896143856245,-22.9050595864116
POZ - A,-43.2004864365291,-22.9098705164193
POZ - B,-43.1993152850031,-22.9096276465194
ESA,-43.2062698305618,-22.9131112139833
ESA - B,-43.2069281933906,-22.9138162045451
AFP - A,-43.2179434372694,-22.9181977745526
AFP - B,-43.2176785021602,-22.9185086682417
SFX - A,-43.2236762433515,-22.9204821648536
SPN - A,-43.2328727832575,-22.9246539182908
SPN - B1,-43.2334190925015,-22.924571253272
SPN - B2,-43.2337944558515,-22.9248119869042
SPN - C,-43.2333427931372,-22.9249145658642
SPN - D,-43.2319945293271,-22.923922557977
SPN - E,-43.2317205044014,-22.9237048033499
SPN - F,-43.2320899113568,-22.9235959841482
URI - A,-43.2395282699757,-22.932183338485
