Acesso,Longitude,Latitude
GOS - A,-43.19716794235250,-22.98475921746690
GOS - B,-43.19687944946550,-22.98443311885930
GOS - C,-43.19841000045970,-22.98342394970810
GOS - D,-43.19496955203770,-22.98191323512190
CTG - A,-43.19384457473980,-22.97667785422170
CTG - B,-43.19271748573600,-22.97635144619010
SCP - A,-43.18661923902200,-22.96694977131550
SCP - B,-43.18754397805350,-22.96752514706670
CAV - A,-43.18052109220650,-22.96466962064450
CAV - B,-43.18077313638700,-22.96462167137120
BTF - A,-43.18468337218420,-22.94955862295810
BTF - B,-43.18431600013120,-22.94897868033640
BTF - C,-43.18406861970440,-22.94943936599550
BTF - D,-43.18401201471970,-22.95096686526200
BTF - E,-43.18422701911170,-22.95153842856710
BTF - F,-43.18430820212600,-22.95092763499070
FLA - A,-43.17816089395230,-22.93723539014630
FLA - B,-43.17875589973020,-22.93873951703900
LMC - A,-43.17828300321950,-22.93090615861950
LMC - B,-43.17789333650820,-22.93132847211540
CTT - A,-43.17669303048150,-22.92617911975040
CTT - B,-43.17646536212110,-22.92626885538880
CTT - C,-43.17670083296930,-22.92521269522410
GLR - A1,-43.17690831343280,-22.92036519664340
GLR - A2,-43.17685394431970,-22.92062787978630
GLR - B,-43.17607154721050,-22.92076753107740
GLR - ACESSIBILIDADE,-43.17631446978200,-22.92050659177640
CNL - A,-43.17584921569520,-22.91021442778350
CNL - B,-43.17577086603800,-22.91042615565420
CNL - C,-43.17554071102000,-22.91019309417720
CNL - D,-43.17574635768720,-22.91174316402630
CNL - E,-43.17512461122690,-22.91149124878010
CNL - F,-43.17522050727670,-22.91124059274960
CRC - A,-43.17760510384670,-22.90734121205320
CRC - B,-43.17852583012710,-22.90819706496620
CRC - C,-43.17851485237240,-22.90699123186760
URG - A,-43.18118109223980,-22.90280493803490
URG - B,-43.18149354344000,-22.90332664236840
URG - C,-43.18228482427040,-22.90299131417270
URG - D,-43.18169604384530,-22.90247933013310
URG - ACESSIBILIDADE,-43.18198572181870,-22.90270630200650
PVG - A,-43.18583324443790,-22.90298876001880
PVG - B,-43.18580076919150,-22.90357934221190
PVG - C,-43.18684735823300,-22.90338488758870
PVG - C,-43.18655020250740,-22.90328739903690
CTR - A,-43.19132020307740,-22.90412273128370
CTR - B,-43.19170072775010,-22.90455582695700
CTR - B,-43.19201642490980,-22.90463071285240
CTR - C,-43.19025626590740,-22.90384557737630
CTR - D,-43.18994319231080,-22.90516509372910
CTR - D,-43.18961438562450,-22.90505958641160
POZ - A,-43.20048643652910,-22.90987051641930
POZ - B,-43.19931528500310,-22.90962764651940
ESA,-43.20626983056180,-22.91311121398330
ESA - B,-43.20692819339060,-22.91381620454510
AFP - A,-43.21794343726940,-22.91819777455260
AFP - B,-43.21767850216020,-22.91850866824170
SFX - A,-43.22367624335150,-22.92048216485360
SPN - A,-43.23287278325750,-22.92465391829080
SPN - B1,-43.23341909250150,-22.92457125327200
SPN - B2,-43.23379445585150,-22.92481198690420
SPN - C,-43.23334279313720,-22.92491456586420
SPN - D,-43.23199452932710,-22.92392255797700
SPN - E,-43.23172050440140,-22.92370480334990
SPN - F,-43.23208991135680,-22.92359598414820
URI - A,-43.23952826997570,-22.93218333848500
URI - B,-43.23979011211800,-22.93203707075340
URI - C,-43.23971775019760,-22.93160627866460
URI - D,-43.23798749200430,-22.93047085616910
URI - E,-43.23779879978760,-22.93063683991080
URI - ACESSIBILIDADE,-43.23960521574500,-22.93168080612900
CNV - A,-43.20614007909300,-22.90897521009660
CNV - B,-43.20594684745590,-22.90940399410250
CNV - C,-43.20586723862680,-22.90961644992450
CNV - D,-43.20566461978250,-22.91013991155160
CNV - E,-43.20559306663880,-22.91032864988630
CNV - F,-43.20546598771620,-22.91070441390500
SCR - A1,-43.22167813746570,-22.91058117152120
SCR - A2,-43.22181122046580,-22.90983278013790
SCR - B1,-43.22190064871440,-22.90957658610350
SCR - B2,-43.22200639807230,-22.90909584894400
SCR - C1,-43.22003956501510,-22.91038170746270
SCR - C2,-43.21994026211270,-22.90994241719900
MRC - A1,-43.23391946251670,-22.90987655030740
MRC - A2,-43.23490770195420,-22.91016664516580
MRC - A3,-43.23383345477360,-22.90992385407610
MRC - A4,-43.23252685463960,-22.91081295361190
MRC -A5,-43.23401303250320,-22.90988835116260
MRC - B1,-43.23326714622780,-22.90878626285330
MRC - B2,-43.23361409460080,-22.90951743154510
TRG - A,-43.24395680531300,-22.89717830528330
TRG - B,-43.24402425686800,-22.89744283817770
MGR - A1,-43.26017169141060,-22.88114808284780
MGR - A2,-43.26008683802610,-22.88140650873180
MGR - B1,-43.25995570580390,-22.88186730170340
MGR - B2,-43.26008747302610,-22.88158459127660
DCT - A1,-43.27124292757220,-22.87927075619240
DCT - A2,-43.27164725589160,-22.87936963119820
DCT - B1,-43.27089101497550,-22.88071080651040
DCT - B2,-43.27176334542260,-22.87955228184700
INH - A1,-43.28391095179090,-22.87426222122910
INH - A2,-43.28368316183500,-22.87448017068370
INH - B1,-43.28361595604570,-22.87465306578490
INH - B2,-43.28391261968930,-22.87474219388530
INH - B3,-43.28370564662880,-22.87463277649150
ERN - A1,-43.29696615463460,-22.86819878926990
ERN - A2,-43.29752782909280,-22.86801698159330
ERN - A3,-43.29739748543700,-22.86799630437790
ERN - B1,-43.29722630873490,-22.86754468220680
ERN - B2,-43.29734794928280,-22.86783034097270
TCL - A1,-43.30658950194820,-22.86235930330950
TCL - A2,-43.30676606334530,-22.86236873341030
TCL - B1,-43.30715161818770,-22.86226219213650
TCL - B2,-43.30692273006880,-22.86238351333930
VCV - A1,-43.31309852022900,-22.85379458258780
VCV - A2,-43.31333979431650,-22.85365698956890
VCV - A3,-43.31358736645740,-22.85323013854700
VCV - A4,-43.31359910962260,-22.85290411795810
