estacao,sigla,ramal,latitude,longitude,nomeAntigo,bicicletario,km,endereço,cep
Agostinho Porto,AGO,Belford Roxo,-22.78860158,-43.38142338,,0,29.57,Avenida Rio D’Ouro 496,25550-660
Barros Filho,BFO,Belford Roxo,-22.83283177,-43.36651676,,0,23.592,Estrada João Paulo s/n,21516-200
Belford Roxo,BRX,Belford Roxo,-22.76348481,-43.40030709,,0,32.976,Rua Floripes da Rocha s/n,26113-340
Cavalcante,CAV,Belford Roxo,-22.87456836,-43.31575046,,0,15.7,Rua Enaldo dos Santos Araújo 936,21370-200
Coelho da Rocha,CRA,Belford Roxo,-22.77916113,-43.38715096,,0,30.791,Rua da Matriz 3.351,25550-170
Costa Barros,COB,Belford Roxo,-22.82212796,-43.37022126,,0,25.142,Estrada de Botafogo s/n,21525-000
Del Castilho,DEL,Belford Roxo,-22.88049188,-43.26984931,,0,10.004,Avenida Suburbana 3.600,20771-000
Honório Gurgel,HON,Belford Roxo,-22.8496366,-43.35723218,,0,21.481,Rua das Safiras s/n,21511-380
Jacarezinho,JAR,Belford Roxo,-22.88422866,-43.25504159,,0,8.24,Rua Comandante Gracindo de Sá 22,20972-000
Pavuna/São João de Meriti,PVN,Belford Roxo,-22.80476289,-43.36804393,,0,27.002,Rua Nossa Senhora das Graças 13,25515-000
Pilares,PLA,Belford Roxo,-22.88059801,-43.29219938,Cintra Vidal,0,12.372,Rua Turi s/n,20771-010
Rocha Miranda,RMA,Belford Roxo,-22.85476201,-43.35167652,,0,20.66,Rua Conselheiro Galvão s/n,21540-000
Tomás Coelho,TOM,Belford Roxo,-22.86902571,-43.30402244,,0,14.45,Rua MoaciRuade Almeida 68,20750-340
Vila Rosali,VRO,Belford Roxo,-22.79406425,-43.37530791,,0,28.63,Rua Manoel Correa s/n,25510-220
Bento Ribeiro,BRO,Deodoro,-22.86430916,-43.36206549,,0,19.278,Rua Carolina Machado s/n,21555-290
Cascadura,CAS,Deodoro,-22.8827522,-43.32804782,,0,15.403,Avenida Suburbana s/n,21380-000
Central do Brasil,CBL,Deodoro,-22.9033851,-43.19170889,Dom Pedro II,0,0,Praça Cristiano Ottoni s/n,20221-250
Deodoro,DEO,Deodoro,-22.85490865,-43.38351664,,0,22.058,Avenida Duque de Caxias s/n,21615-220
Engenho de Dentro,EDO,Deodoro,-22.89555781,-43.29444054,,0,11.398,Rua Arquias Cordeiro s/n,20770-001
Engenho Novo,ENO,Deodoro,-22.90318776,-43.26999172,,0,8.863,Rua Vinte e Quatro de Maio s/n,20725-001
Madureira,MAD,Deodoro,-22.8773125,-43.33658139,,0,16.68,Rua Carolina Machado s/n,21351-021
Maracanã,MAR,Deodoro,-22.90933828,-43.23327398,Derby Club,0,4.238,Avenida Presidente Castelo Branco s/n,20271-130
Marechal Hermes,MHS,Deodoro,-22.86097425,-43.37065899,,0,20.502,Rua João Vicente s/n,21331-260
Méier,MER,Deodoro,-22.90179617,-43.27805618,,0,9.507,Rua Arquias Cordeiro s/n,20770-001
Oswaldo Cruz,OCZ,Deodoro,-22.86937822,-43.34983332,,0,18.099,Rua João Vicente s/n,21340-021
Piedade,PIE,Deodoro,-22.89049136,-43.30960487,,0,13.121,Rua Manoel Vitorino s/n,20740-280
Praça da Bandeira,PBA,Deodoro,-22.91002694,-43.21298828,Lauro Muller,0,2.36,Praça da Bandeira s/n,20270-150
Quintino,QTO,Deodoro,-22.88852453,-43.32118032,,0,14.357,Rua Nerval de Gouveia s/n,21311-110
Riachuelo,RIA,Deodoro,-22.90158796,-43.25639298,,0,7.07,Rua Ana Neri s/n,20960-002
