Estacao,IntegracaoIntermodal
Acari Fazenda Botafogo,
Afonso Pena,
Botafogo,Ônibus Expresso (Urca) e Metrô Na Superfície
Cantagalo,
Cardeal Arcoverde,
Carioca,
Catete,
Central,Supervia
Cidade Nova,
Cinelândia,
Coelho Neto,
Colégio,
Del Castilho,"Ônibus Expresso (Jacarepaguá, Barra, Fundão)"
Eng. Rubens Paiva,
Engenho da Rainha,
Estácio,"Ônibus Expresso (Rodoviária, São Cristóvão/Caju)"
Flamengo,
Glória,
Inhaúma,
Ipanema/General Osório,Ônibus Expresso (Barra) e Metrô Na Superfície
Irajá,
Largo do Machado,Ônibus Expresso (Cosme Velho)
Maracanã,Supervia
Maria da Graça,
Pavuna,Supervia
Praça Onze,
Presidente Vargas,
Saens Peña,"Ônibus Expresso (Usina, Muda, Andaraí e Grajaú)"
São Cristóvão,Supervia
São Francisco Xavier,"Ônibus Expresso (Méier, Vila Isabel)"
Siqueira Campos,
Tomás Coelho,
Triagem,Supervia
Uruguai,
Uruguaiana,
Vicente de Carvalho,BRT Transcarioca
