Código,Nome,Histórico,Foto,Autor,Inauguração,Localização,Latitude,Longitude
1,"Zumbi dos Palmares","O monumento foi idealizado por Darcy Ribeiro para homenagear um líder e fortalecer a consciência negra. Zumbi dos Palmares não teve sua fisionomia identificada, portanto, para representá-lo, Darcy  se utilizou como molde a cabeça de um rei Nigeriano do século XII, da nação Págé-Nagô, cuja peça original se encontra no Museu de Londres.","http://riomonumentos.com/cadastro/uploads/zumbi-dos-palmares.jpg","João Figueiras Lima e obra  Engenheiro Humberto Moura.","9 de novembro de 1986","Praça XI, Av. Presidente Vargas, Rio de Janeiro - RJ","-22.906886","-43.196468"
2,"Chafariz da Imperatriz","Chafariz formado por uma coluna monumental em gnaisse erguida no antigo Largo Municipal, hoje Praça Barão de Teffe,  em homenagem ao desembarque naquele local, em 1843, da Imperatriz Da. Teresa Cristina Maria, esposa de D. Pedro II.","http://riomonumentos.com/cadastro/uploads/chafariz_Imperatriz001.jpg","Bittencourt da Silva","1853","Av. Barão de Tefé, Rio de Janeiro - RJ","-22.896928","-43.187287"
3,"Pereira Passos","O monumento ao Prefeito Pereira Passos foi uma  iniciativa dos funcionários da Municipalidade, como prova de justiça e gratidão ao grande reformador da cidade.","http://riomonumentos.com/cadastro/uploads/pereira-passos.JPG","Rodolfo Bernadelli","5 de novembro de 1914","Avenida Presidente Vargas, Praça Pio X, Rio de Janeiro - RJ","-22.901193","-43.178876"
4,"Pequeno Jornaleiro","O monumento é uma homenagem aos garotos que vendiam jornais pelas ruas do Rio. Foi uma iniciativa do jornal A Noite.","http://riomonumentos.com/cadastro/uploads/pequeno-jornaleiro.jpg","Fritz (Anísio Oscar Mota)","3 de junho de 1933","Rua Sete de Setembro, Rio de Janeiro - RJ","-22.905083","-43.177867"
5,"Grande Quadrado Vermelho","Escultura abstrata em aço pintada na cor vermelha.","http://riomonumentos.com/cadastro/uploads/grande-quadrado-vermelho.JPG","Franz Weissmann","1996","Rua República do Paraguai, Rio de Janeiro - RJ","-22.907508","-43.180980"
6,"Luis de Camões","É considerado como o maior poeta de língua portuguesa por sua grande obra "Os Lusíadas". Está voltado para o Real Gabinete de Leitura.","http://riomonumentos.com/cadastro/uploads/DSC03789.jpg","desconhecido","1996","Rua Luis de Camões, Rio de Janeiro - RJ","-22.905585","-43.182090"
7,"Getúlio Vargas","O busto é uma homenagem ao presidente e estadista brasileiro e foi inaugurado 8 anos após sua morte.","http://riomonumentos.com/cadastro/uploads/getulio-vargas.jpg","Luiz Serri","24 de agosto de 1962","Praça Floriano, Rio de Janeiro - RJ","-22.911167","-43.175820"
8,"Francisco Serrador","O busto é uma homenagem da cidade ao incentivador do cinema do Brasil. Foi o idealizador e realizador da Cinelândia.","http://riomonumentos.com/cadastro/uploads/francisco-serrador.jpg","A. Coutinho","1928","Praça Floriano, Rio de Janeiro - RJ","-22.911021","-43.175859"
9,"Paulo de Frontin","O busto foi erguido por inciativa de amigos e admiradores por sua atuação como engenheiro, no dia de seu 65º aniversário.","http://riomonumentos.com/cadastro/uploads/paulo-de-frontim.jpg","Ugo Taddey","17 de setembro de 1925","Praça Floriano , Rio de Janeiro - RJ","-22.911482","-43.175685"
10,"Juscelino Kubitschek","O busto do presidente foi erguido originalmente por seus admiradores em 1961. Foi destruído em 1964. A homenagem foi reconstituída após a abertura política, em 1983 pelo escultor Zanucchi.","http://riomonumentos.com/cadastro/uploads/juceslino-kubischek.jpg","Fanucci","25 de novembro de 1983","Praça Floriano, Rio de Janeiro - RJ","-22.910779","-43.175949"
11,"Carlos Gomes","Foi colocada em frente ao Theatro Municipal, por sugestão do barítono Paulo Fortes. O monumento marcou o início da temporada lírica nacional de 1960.","http://riomonumentos.com/cadastro/uploads/carlos-gomes.jpg","Rodolfo Bernadelli (cópia)","16 de janeiro de 1960","Praça Floriano, Rio de Janeiro","-22.910069","-43.176024"
