Origem,Destino,DescricaoOrigem,DescricaoDestino,Tempo
AFP,BTF,Afonso Pena,Botafogo,21:10
AFP,CAV,Afonso Pena,Cardeal Arcoverde,25:30
AFP,CNL,Afonso Pena,Cinelândia,12:32
AFP,CRC,Afonso Pena,Carioca,11:05
AFP,CTR,Afonso Pena,Central,06:35
AFP,CTT,Afonso Pena,Catete,15:56
AFP,ESA,Afonso Pena,Estácio,02:20
AFP,FLA,Afonso Pena,Flamengo,19:12
AFP,GLR,Afonso Pena,Glória,14:26
AFP,LMC,Afonso Pena,Largo do Machado,17:34
AFP,POZ,Afonso Pena,Praça Onze,04:25
AFP,PVG,Afonso Pena,Presidente Vargas,07:58
AFP,SFX,Afonso Pena,São Francisco Xavier,01:25
AFP,SPN,Afonso Pena,Saens Peña,02:51
AFP,URG,Afonso Pena,Uruguaiana,09:25
BTF,AFP,Botafogo,Afonso Pena,20:29
BTF,CAV,Botafogo,Cardeal Arcoverde,04:55
BTF,CNL,Botafogo,Cinelândia,09:20
BTF,CRC,Botafogo,Carioca,10:43
BTF,CTR,Botafogo,Central,14:54
BTF,CTT,Botafogo,Catete,05:55
BTF,ESA,Botafogo,Estácio,18:24
BTF,FLA,Botafogo,Flamengo,03:03
BTF,GLR,Botafogo,Glória,07:22
BTF,LMC,Botafogo,Largo do Machado,04:31
BTF,POZ,Botafogo,Praça Onze,16:44
BTF,PVG,Botafogo,Presidente Vargas,13:29
BTF,SFX,Botafogo,São Francisco Xavier,21:54
BTF,SPN,Botafogo,Saens Peña,23:20
BTF,URG,Botafogo,Uruguaiana,12:17
CAV,AFP,Cardeal Arcoverde,Afonso Pena,23:59
CAV,BTF,Cardeal Arcoverde,Botafogo,03:30
CAV,CNL,Cardeal Arcoverde,Cinelândia,12:50
CAV,CRC,Cardeal Arcoverde,Carioca,14:13
CAV,CTR,Cardeal Arcoverde,Central,18:24
CAV,CTT,Cardeal Arcoverde,Catete,09:25
CAV,ESA,Cardeal Arcoverde,Estácio,21:54
CAV,FLA,Cardeal Arcoverde,Flamengo,06:33
CAV,GLR,Cardeal Arcoverde,Glória,10:52
CAV,LMC,Cardeal Arcoverde,Largo do Machado,08:01
CAV,POZ,Cardeal Arcoverde,Praça Onze,20:14
CAV,PVG,Cardeal Arcoverde,Presidente Vargas,16:59
CAV,SFX,Cardeal Arcoverde,São Francisco Xavier,25:24
CAV,SPN,Cardeal Arcoverde,Saens Peña,26:50
CAV,URG,Cardeal Arcoverde,Uruguaiana,15:47
CNL,AFP,Cinelândia,Afonso Pena,11:09
